time,EUR_USD
2017:01:02 23:00:00,1.04684
2017:01:02 23:30:00,1.04634
2017:01:02 23:00:00,1.04684
2017:01:03 0:00:00,1.04577
2017:01:03 0:30:00,1.0467
2017:01:03 1:00:00,1.04665
2017:01:03 1:30:00,1.04768
2017:01:03 2:00:00,1.04761
2017:01:03 2:30:00,1.0476
2017:01:03 3:00:00,1.04718
2017:01:03 3:30:00,1.04794
2017:01:03 4:00:00,1.04852
2017:01:03 4:30:00,1.04833
2017:01:03 5:00:00,1.04886
2017:01:03 5:30:00,1.04856
2017:01:03 6:00:00,1.04821
2017:01:03 6:30:00,1.04877
2017:01:03 7:00:00,1.04885
2017:01:03 7:30:00,1.04614
2017:01:03 8:00:00,1.04606
2017:01:03 8:30:00,1.04322
2017:01:03 9:00:00,1.04356
2017:01:03 9:30:00,1.04198
2017:01:03 10:00:00,1.04015
2017:01:03 10:30:00,1.04113
2017:01:03 11:00:00,1.03964
2017:01:03 11:30:00,1.03827
2017:01:03 12:00:00,1.0394
2017:01:03 12:30:00,1.03822
2017:01:03 13:00:00,1.03894
2017:01:03 13:30:00,1.0383
2017:01:03 14:00:00,1.03912
2017:01:03 14:30:00,1.03953
2017:01:03 15:00:00,1.03894
2017:01:03 15:30:00,1.03631
2017:01:03 16:00:00,1.03846
2017:01:03 16:30:00,1.04162
2017:01:03 17:00:00,1.04152
2017:01:03 17:30:00,1.04128
2017:01:03 18:00:00,1.04269
2017:01:03 18:30:00,1.04254
2017:01:03 19:00:00,1.04148
2017:01:03 19:30:00,1.04082
2017:01:03 20:00:00,1.0411
2017:01:03 20:30:00,1.04161
2017:01:03 21:00:00,1.04018
2017:01:03 21:30:00,1.04045
2017:01:03 22:00:00,1.04061
2017:01:03 22:30:00,1.04064
2017:01:03 23:00:00,1.04094
2017:01:03 23:30:00,1.04187
2017:01:04 0:00:00,1.04175
2017:01:04 0:30:00,1.04033
2017:01:04 1:00:00,1.03948
2017:01:04 1:30:00,1.03982
2017:01:04 2:00:00,1.03934
2017:01:04 2:30:00,1.04031
2017:01:04 3:00:00,1.04054
2017:01:04 3:30:00,1.0403
2017:01:04 4:00:00,1.04052
2017:01:04 4:30:00,1.04047
2017:01:04 5:00:00,1.04028
2017:01:04 5:30:00,1.04056
2017:01:04 6:00:00,1.04066
2017:01:04 6:30:00,1.04087
2017:01:04 7:00:00,1.04063
2017:01:04 7:30:00,1.04162
2017:01:04 8:00:00,1.04176
2017:01:04 8:30:00,1.04312
2017:01:04 9:00:00,1.04335
2017:01:04 9:30:00,1.04398
2017:01:04 10:00:00,1.04379
2017:01:04 10:30:00,1.04354
2017:01:04 11:00:00,1.04328
2017:01:04 11:30:00,1.04384
2017:01:04 12:00:00,1.04312
2017:01:04 12:30:00,1.0428
2017:01:04 13:00:00,1.0434
2017:01:04 13:30:00,1.04366
2017:01:04 14:00:00,1.0439
2017:01:04 14:30:00,1.04483
2017:01:04 15:00:00,1.04625
2017:01:04 15:30:00,1.04661
2017:01:04 16:00:00,1.04765
2017:01:04 16:30:00,1.04836
2017:01:04 17:00:00,1.04751
2017:01:04 17:30:00,1.04788
2017:01:04 18:00:00,1.04719
2017:01:04 18:30:00,1.04722
2017:01:04 19:00:00,1.04784
2017:01:04 19:30:00,1.04627
2017:01:04 20:00:00,1.04663
2017:01:04 20:30:00,1.04674
2017:01:04 21:00:00,1.0486
2017:01:04 21:30:00,1.04866
2017:01:04 22:00:00,1.04887
2017:01:04 22:30:00,1.04864
2017:01:04 23:00:00,1.04876
2017:01:04 23:30:00,1.04878
2017:01:05 0:00:00,1.04972
2017:01:05 0:30:00,1.05278
2017:01:05 1:00:00,1.05408
2017:01:05 1:30:00,1.05108
2017:01:05 2:00:00,1.05194
2017:01:05 2:30:00,1.05204
2017:01:05 3:00:00,1.05148
2017:01:05 3:30:00,1.05246
2017:01:05 4:00:00,1.05206
2017:01:05 4:30:00,1.05198
2017:01:05 5:00:00,1.05262
2017:01:05 5:30:00,1.05628
2017:01:05 6:00:00,1.05415
2017:01:05 6:30:00,1.05501
2017:01:05 7:00:00,1.05664
2017:01:05 7:30:00,1.05466
2017:01:05 8:00:00,1.05594
2017:01:05 8:30:00,1.05264
2017:01:05 9:00:00,1.0515
2017:01:05 9:30:00,1.0509
2017:01:05 10:00:00,1.05044
2017:01:05 10:30:00,1.05104
2017:01:05 11:00:00,1.04884
2017:01:05 11:30:00,1.04928
2017:01:05 12:00:00,1.04934
2017:01:05 12:30:00,1.051
2017:01:05 13:00:00,1.05017
2017:01:05 13:30:00,1.05181
2017:01:05 14:00:00,1.05302
2017:01:05 14:30:00,1.05376
2017:01:05 15:00:00,1.05458
2017:01:05 15:30:00,1.05685
2017:01:05 16:00:00,1.06029
2017:01:05 16:30:00,1.05893
2017:01:05 17:00:00,1.0599
2017:01:05 17:30:00,1.05995
2017:01:05 18:00:00,1.05988
